,0,1
0,START!!START,1.0
1,112!!A_SUBMITTED,0.28644909930614837
2,112!!A_PARTLYSUBMITTED,0.28644909930614837
3,112!!A_PREACCEPTED,0.1062008886554162
4,112!!W_Completeren aanvraag,0.10622277671985467
5,NULL!!W_Completeren aanvraag,0.3596890616324264
6,10862!!A_ACCEPTED,0.10365853658536585
7,10862!!O_SELECTED,0.16260162601626016
8,10862!!A_FINALIZED,0.1016260162601626
9,10862!!O_CREATED,0.16260162601626016
10,10862!!O_SENT,0.16260162601626016
11,NULL!!W_Nabellen offertes,0.40610771793448086
12,10913!!W_Nabellen offertes,0.2966968722595732
13,11049!!W_Nabellen offertes,0.32273479139864
14,11049!!O_SENT_BACK,0.15769160080867486
15,11049!!W_Valideren aanvraag,0.23764013968020584
16,10629!!W_Valideren aanvraag,0.4078391959798995
17,10629!!A_REGISTERED,0.0721608040201005
18,10629!!A_APPROVED,0.0721608040201005
19,10629!!O_ACCEPTED,0.0721608040201005
20,10629!!A_ACTIVATED,0.0721608040201005
21,END!!END,1.0
22,11120!!O_SELECTED,0.1375886524822695
23,11120!!O_CANCELLED,0.04680851063829787
24,11120!!O_CREATED,0.1375886524822695
25,11120!!O_SENT,0.1375886524822695
26,10809!!W_Valideren aanvraag,0.46097337006427913
27,10809!!O_ACCEPTED,0.06221303948576676
28,10809!!A_APPROVED,0.06221303948576676
29,10809!!A_REGISTERED,0.06221303948576676
30,10809!!A_ACTIVATED,0.06221303948576676
31,10912!!W_Completeren aanvraag,0.319377990430622
32,11201!!W_Completeren aanvraag,0.4031693077564637
33,11201!!A_ACCEPTED,0.030025020850708923
34,11201!!A_FINALIZED,0.02902418682235196
35,11201!!O_SELECTED,0.03969974979149291
36,11201!!O_CREATED,0.03969974979149291
37,11201!!O_SENT,0.03969974979149291
38,11201!!W_Nabellen offertes,0.32060050041701416
39,11201!!O_CANCELLED,0.017347789824854045
40,11119!!W_Nabellen offertes,0.3802145411203814
41,10912!!W_Nabellen offertes,0.1893939393939394
42,10861!!W_Nabellen offertes,0.2924681658087239
43,10861!!O_SELECTED,0.03657545380655649
44,10861!!O_CANCELLED,0.016120292603630453
45,10861!!O_CREATED,0.03657545380655649
46,10861!!O_SENT,0.03657545380655649
47,11203!!W_Nabellen offertes,0.35414680648236413
48,11181!!W_Nabellen offertes,0.3412793007548669
49,11189!!W_Nabellen offertes,0.27869578046621424
50,10609!!W_Valideren aanvraag,0.4880124840402894
51,10609!!O_ACCEPTED,0.047524471556249115
52,10609!!A_APPROVED,0.047524471556249115
53,10609!!A_REGISTERED,0.047524471556249115
54,10609!!A_ACTIVATED,0.047524471556249115
55,10912!!W_Wijzigen contractgegevens,0.00039872408293460925
56,112!!A_DECLINED,0.07505417295948519
57,10912!!A_CANCELLED,0.009569377990430622
58,112!!W_Afhandelen leads,0.10372753737387003
59,10912!!W_Afhandelen leads,0.06299840510366826
60,10912!!A_PREACCEPTED,0.014752791068580542
61,11111!!A_DECLINED,0.23076923076923078
62,10982!!W_Completeren aanvraag,0.277842711638003
63,112!!A_CANCELLED,0.021975616696215554
64,11019!!W_Completeren aanvraag,0.5092712376024149
65,11180!!W_Completeren aanvraag,0.3261029954257046
66,11180!!A_CANCELLED,0.01401800206581083
67,10912!!A_ACCEPTED,0.04864433811802233
68,10912!!O_SELECTED,0.05901116427432217
69,10912!!A_FINALIZED,0.04824561403508772
70,10912!!O_CREATED,0.05901116427432217
71,10912!!O_SENT,0.05901116427432217
72,10899!!W_Nabellen offertes,0.3609722853248523
73,10899!!O_SENT_BACK,0.1890049977283053
74,10899!!W_Valideren aanvraag,0.2664697864606997
75,10138!!W_Valideren aanvraag,0.4477243172951886
76,10138!!A_DECLINED,0.020286085825747726
77,10138!!O_DECLINED,0.020156046814044214
78,10862!!O_CANCELLED,0.09552845528455285
79,11002!!W_Nabellen offertes,0.2374429223744292
80,10629!!W_Nabellen incomplete dossiers,0.1163819095477387
81,NULL!!W_Nabellen incomplete dossiers,0.10882842865074958
82,11122!!W_Nabellen incomplete dossiers,0.0849579681631193
83,10913!!W_Nabellen incomplete dossiers,0.2087109032446653
84,10889!!W_Nabellen incomplete dossiers,0.059110473457675755
85,11002!!W_Nabellen incomplete dossiers,0.3470319634703196
86,11002!!W_Valideren aanvraag,0.0121765601217656
87,10972!!W_Valideren aanvraag,0.4532932235592147
88,10972!!W_Nabellen incomplete dossiers,0.12064597846738442
89,11049!!W_Nabellen incomplete dossiers,0.2617165962139313
